pixel_feature_index,importance
1925,0.00042186233270839605
1635,0.0004217763619297667
1618,0.00042160736665962037
786,0.0004210871330428731
1725,0.000420690305275959
1541,0.00042068069659451465
1654,0.0004205865002924053
1177,0.00042046328779025353
1744,0.000420411851583887
2012,0.00042035738442711715
1342,0.00042031738194818415
1578,0.0004202518267843145
1440,0.0004201493455295528
925,0.0004200460716704303
743,0.00041928462143346444
427,0.0004189565554487964
681,0.0004188266512144764
282,0.00041877555039683713
2103,0.000418617557766009
1786,0.00041821432822806965
778,0.00041819312152463283
946,0.00041815686834208854
465,0.0004181276903279318
1165,0.00041765478937784477
858,0.0004176519861163283
919,0.00041759376899510204
2185,0.00041751063272885537
2182,0.0004173960185880737
898,0.0004164002135699646
1089,0.0004163527768928339
1563,0.00041623809380972283
414,0.00041622940199256717
1111,0.0004161732958297273
986,0.0004161472029201733
17,0.0004160672775341586
2219,0.00041588581339233006
2230,0.0004157937255025982
582,0.0004155656101715538
2005,0.00041554905344167624
2081,0.0004154430030385818
538,0.000415300897457809
546,0.0004152287919941813
20,0.00041481205693319907
815,0.0004146349802388454
1114,0.00041424639297628666
1828,0.00041417382770819966
511,0.0004141362289860883
2026,0.000414128097031074
1544,0.0004140914649143904
1314,0.00041381007324494686
2255,0.0004137127544863601
524,0.00041355513118702947
2013,0.0004130080883219136
812,0.00041292371145872125
729,0.0004127296401443221
2127,0.0004125651181820454
2231,0.0004124668283703126
728,0.0004124472149675204
241,0.0004123211686651253
1694,0.0004122916464085957
1598,0.0004120568472657386
2062,0.00041197857712333395
996,0.00041190384714605055
1372,0.0004115538204732872
2149,0.00041138882292259785
1655,0.0004113736788357705
2100,0.0004113256965543672
265,0.00041131950463755526
504,0.00041113634900290583
86,0.0004111305012430862
375,0.000411123233926937
2094,0.00041094379907464704
214,0.0004108265114904253
781,0.00041049836839940725
1112,0.0004104279246560136
1965,0.0004102008888276739
689,0.0004099416253800448
847,0.0004099017483451394
1280,0.0004098271206197352
280,0.00040975316637503604
1596,0.0004096430091596835
904,0.00040953605675232685
779,0.0004089818062937853
2204,0.00040894341809911516
442,0.00040881010855226083
1398,0.0004086827626128118
2071,0.00040858164394536517
32,0.0004085593408161194
850,0.00040855366798341904
162,0.0004083260980762607
381,0.00040823899902972153
2306,0.00040814366079115885
2031,0.00040804724087272094
1647,0.00040771885093308306
1201,0.0004073497625672558
1077,0.0004070561043941935
483,0.000406341065237406
1193,0.0004062678395008212
1666,0.00040610781000677244
1008,0.0004060580886545085
1825,0.00040598714593724055
2225,0.0004059362933103197
1922,0.0004058713672959362
2158,0.00040535614810335987
2341,0.00040514714626677686
127,0.00040506429587414946
240,0.00040489313607016395
1707,0.0004048374333923668
1389,0.0004046467594994474
1653,0.00040458088587631976
1325,0.00040441726634894807
2315,0.00040404470446868596
988,0.00040386560990422207
548,0.0004037345569730636
124,0.0004033319175434025
1452,0.00040313932933899456
158,0.00040308186679206294
1188,0.0004029493845175938
1336,0.00040284954465484975
1585,0.00040277143724080726
1028,0.0004026749769719415
1025,0.0004025944805185909
2162,0.0004025788648893542
1408,0.00040241710578653184
1730,0.00040230926099742837
1170,0.00040225895839869885
2091,0.0004022480052215441
1717,0.0004021680454709627
1115,0.0004021464713482155
1195,0.00040182602837945627
834,0.000401801291361866
219,0.00040178872685653886
1781,0.00040175645732642984
1113,0.00040105960040978693
1709,0.00040099278159113976
359,0.0004008479157578587
840,0.00040051757109880825
455,0.0004004574365944253
2323,0.0004003511174005218
1882,0.000399791965479581
2008,0.00039974727248363965
97,0.0003995928401622029
999,0.00039947237116385714
1997,0.0003994220957965309
1258,0.0003993867436360737
995,0.0003992602385784056
1282,0.0003992251212739765
507,0.0003991664212143144
349,0.00039896999264061515
450,0.00039896549072076446
283,0.0003989565030258134
242,0.00039887267484545153
475,0.0003987726063692161
539,0.00039872425589273694
656,0.00039864842832691607
1167,0.0003980084564559466
254,0.00039792097734709183
1031,0.00039778739224516146
1118,0.00039742295729558165
1027,0.00039727594131785623
589,0.0003966975448911035
443,0.0003966494852271834
2120,0.00039642549364754136
2303,0.0003963679471476543
239,0.0003963404034461973
1779,0.0003963105314202712
2207,0.000396266678839591
2156,0.000396037398527326
2305,0.00039564196463632423
556,0.0003955707054540664
2256,0.00039554192092710754
2093,0.00039550504963434144
403,0.00039539925643524945
1531,0.00039508751991467573
939,0.00039508724524674584
1963,0.00039496461496540605
2052,0.0003949136275301334
1799,0.00039489860577531985
1149,0.00039453376827588174
1099,0.00039437079638225274
1597,0.00039433445953599317
1457,0.00039426763096851155
353,0.00039379687426289024
2221,0.0003937862924928669
934,0.00039373654239638003
1549,0.0003935894386733736
1993,0.0003935655353790358
476,0.00039337716912303685
24,0.0003932985491301982
706,0.00039314847970593666
1003,0.00039314060570084093
1431,0.00039305517796978643
1576,0.00039301739321142686
509,0.0003929642454086358
942,0.0003927162851254099
1198,0.0003921900451512376
50,0.0003919204641247348
1930,0.0003918773657219619
2015,0.0003915128808319189
1470,0.00039136502201572406
2314,0.0003913380814832644
2299,0.00039132864335585354
55,0.0003910165929178553
1986,0.0003907619279503868
2332,0.0003907113055542413
822,0.000390630326438089
